unit,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,RUL
1,0.0,0.4674556213017752,0.16666666666666663,0.0,518.67,0.17378048780489053,0.4068018312622641,0.32357608887321376,14.62,21.61,0.72624798711756,0.24242424242402194,0.10975500314098952,1.3,0.3690476190476204,0.6332622601279212,0.20588235294098922,0.18753273965426587,0.36398614851866284,0.03,0.3333333333333357,2388,100.0,0.7131782945736447,0.7246616956641816,191
1,0.002770083102493075,0.6213017751479291,0.25,0.0,518.67,0.27439024390241684,0.45301940265969165,0.3683653676600258,14.62,21.61,0.628019323671495,0.2121212121210192,0.10024230458584071,1.3,0.38095238095238315,0.7654584221748308,0.2794117647058556,0.1501833420639045,0.41131204309350267,0.03,0.3333333333333357,2388,100.0,0.6666666666666643,0.731013532173435,190
1,0.0055401662049861505,0.25443786982248523,0.75,0.0,518.67,0.3353658536585442,0.36952256376716974,0.3870569564450719,14.62,21.61,0.7101449275362341,0.2727272727270247,0.1400430763708158,1.3,0.25000000000000355,0.7953091684434952,0.2205882352941444,0.1592980618124642,0.35744517121970176,0.03,0.1666666666666714,2388,100.0,0.6279069767441854,0.6213753106876538,189
1,0.008310249307479225,0.5502958579881657,0.5,0.0,518.67,0.3353658536585442,0.25615870939612506,0.345970728266618,14.62,21.61,0.7407407407407476,0.31818181818198354,0.1245176343892993,1.3,0.16666666666666785,0.8891257995735629,0.29411764705855603,0.16244106862231433,0.16660253943824443,0.03,0.3333333333333357,2388,100.0,0.5736434108527142,0.6623860811930413,188
1,0.0110803324099723,0.39644970414201186,0.3333333333333333,0.0,518.67,0.3414634146341484,0.257466753869636,0.4226767765826125,14.62,21.61,0.6682769726247955,0.24242424242402194,0.14995961590236107,1.3,0.25595238095238315,0.7462686567164241,0.23529411764684482,0.16228391828182254,0.40207772220084337,0.03,0.4166666666666714,2388,100.0,0.5891472868217029,0.7045015189174251,187
1,0.013850415512465375,0.25443786982248523,0.41666666666666663,0.0,518.67,0.2591463414634063,0.2927839546544604,0.2842532181273114,14.62,21.61,0.7761674718196474,0.18181818181801646,0.1254150587813001,1.3,0.18452380952380665,0.63752665245201,0.2205882352941444,0.15730749083289908,0.33051173528280486,0.03,0.25,2388,100.0,0.651162790697672,0.652720243026792,186
1,0.016620498614958446,0.5680473372781065,0.5833333333333334,0.0,518.67,0.375,0.46391977327229483,0.2736730735320059,14.62,21.61,0.7230273752012977,0.18181818181801646,0.1678183613030555,1.3,0.3035714285714306,0.7739872068230369,0.2205882352941444,0.15453116815086076,0.2789534436321688,0.03,0.3333333333333357,2388,100.0,0.7441860465116292,0.6672190002761695,185
1,0.019390581717451522,0.3076923076923077,0.75,0.0,518.67,0.39939024390241684,0.2598648354044073,0.33010051137365437,14.62,21.61,0.6441223832528209,0.1515151515150137,0.0855694157767175,1.3,0.23214285714285765,0.8059701492537386,0.2205882352941444,0.14798323729701224,0.3181993074259353,0.03,0.25,2388,100.0,0.6434108527131777,0.5749792874896471,184
1,0.0221606648199446,0.5562130177514794,0.5833333333333334,0.0,518.67,0.2652439024390105,0.434706780030524,0.2213013577852223,14.62,21.61,0.6183574879227081,0.22727272727297532,0.11096652607017887,1.3,0.26190476190476275,0.660980810234534,0.25,0.1198009429020388,0.18430165448249625,0.03,0.3333333333333357,2388,100.0,0.7054263565891432,0.7075393537696755,183
1,0.02493074792243767,0.31360946745562135,0.5833333333333334,0.0,518.67,0.14024390243901053,0.4403749727490762,0.32110738846764164,14.62,21.61,0.6022544283413964,0.22727272727297532,0.13447904514045206,1.3,0.10714285714285765,0.660980810234534,0.26470588235270043,0.1391304347826079,0.39899961523662597,0.03,0.4166666666666714,2388,100.0,0.6279069767441854,0.7942557304611952,182
